"league_id","meta_type","meta_keyid","meta_value","meta_source"
5,source_team_id,50106,"2426",espn
5,source_team_id,50209,"153",espn
5,source_team_id,50210,"152",espn
5,source_team_id,50603,"87",espn
5,source_team_id,50308,"158",espn
5,source_team_id,50709,"2459",espn
5,source_team_id,50806,"167",espn
5,source_team_id,50507,"166",espn
5,source_team_id,50107,"249",espn
5,source_team_id,50807,"2440",espn
5,source_team_id,50309,"77",espn
5,source_team_id,50710,"195",espn
5,source_team_id,50311,"194",espn
5,source_team_id,51009,"201",espn
5,source_team_id,50410,"197",espn
5,source_team_id,51109,"295",espn
5,source_team_id,50310,"2483",espn
5,source_team_id,50901,"204",espn
5,source_team_id,50211,"221",espn
5,source_team_id,50312,"213",espn
5,source_team_id,50313,"2509",espn
5,source_team_id,50108,"242",espn
5,source_team_id,50314,"164",espn
5,source_team_id,50508,"2534",espn
5,source_team_id,51011,"2579",espn
5,source_team_id,50808,"21",espn
5,source_team_id,50809,"23",espn
5,source_team_id,50212,"2567",espn
5,source_team_id,51110,"2572",espn
5,source_team_id,50213,"24",espn
5,source_team_id,50214,"183",espn
5,source_team_id,50411,"2628",espn
5,source_team_id,50109,"218",espn
5,source_team_id,51012,"2633",espn
5,source_team_id,50711,"2649",espn
5,source_team_id,51111,"2653",espn
5,source_team_id,50110,"2655",espn
5,source_team_id,50111,"202",espn
5,source_team_id,51013,"251",espn
5,source_team_id,51014,"245",espn
5,source_team_id,51112,"326",espn
5,source_team_id,50412,"2641",espn
5,source_team_id,50112,"5",espn
5,source_team_id,50413,"2116",espn
5,source_team_id,50315,"26",espn
5,source_team_id,51113,"2433",espn
5,source_team_id,50810,"2439",espn
5,source_team_id,51114,"6",espn
5,source_team_id,50316,"30",espn
5,source_team_id,50113,"58",espn
5,source_team_id,50415,"254",espn
5,source_team_id,50509,"2638",espn
5,source_team_id,50114,"2636",espn
5,source_team_id,50811,"328",espn
5,source_team_id,50215,"258",espn
5,source_team_id,51016,"238",espn
5,source_team_id,50216,"259",espn
5,source_team_id,50317,"264",espn
5,source_team_id,50902,"265",espn
5,source_team_id,50217,"154",espn
5,source_team_id,50318,"275",espn
5,source_team_id,50510,"98",espn
5,source_team_id,50712,"2711",espn
5,source_team_id,50416,"277",espn
5,source_team_id,50812,"2751",espn
5,source_team_id,59127,"2000",cfbd
5,source_team_id,59114,"2010",cfbd
5,source_team_id,59122,"2011",cfbd
5,source_team_id,59117,"2016",cfbd
5,source_team_id,59120,"2029",cfbd
5,source_team_id,59129,"2046",cfbd
5,source_team_id,59119,"2065",cfbd
5,source_team_id,59040,"225",cfbd
5,source_team_id,59025,"2803",cfbd
5,source_team_id,59073,"2083",cfbd
5,source_team_id,59082,"2086",cfbd
5,source_team_id,59008,"13",cfbd
5,source_team_id,59028,"2097",cfbd
5,source_team_id,59123,"2110",cfbd
5,source_team_id,59068,"2115",cfbd
5,source_team_id,59016,"2127",cfbd
5,source_team_id,59099,"236",cfbd
5,source_team_id,59078,"2142",cfbd
5,source_team_id,59044,"171",cfbd
5,source_team_id,59043,"172",cfbd
5,source_team_id,59042,"159",cfbd
5,source_team_id,59087,"2166",cfbd
5,source_team_id,59085,"2168",cfbd
5,source_team_id,59053,"2169",cfbd
5,source_team_id,59084,"2181",cfbd
5,source_team_id,59065,"2184",cfbd
5,source_team_id,59019,"2197",cfbd
5,source_team_id,59125,"2198",cfbd
5,source_team_id,59005,"331",cfbd
5,source_team_id,59094,"2193",cfbd
5,source_team_id,59110,"2837",cfbd
5,source_team_id,59031,"2210",cfbd
5,source_team_id,59111,"50",cfbd
5,source_team_id,59076,"2230",cfbd
5,source_team_id,59093,"231",cfbd
5,source_team_id,59013,"2241",cfbd
5,source_team_id,59075,"46",cfbd
5,source_team_id,59113,"2755",cfbd
5,source_team_id,59033,"2261",cfbd
5,source_team_id,59041,"108",cfbd
5,source_team_id,59074,"107",cfbd
5,source_team_id,59108,"2277",cfbd
5,source_team_id,59048,"47",cfbd
5,source_team_id,59001,"70",cfbd
5,source_team_id,59010,"304",cfbd
5,source_team_id,59055,"2287",cfbd
5,source_team_id,59101,"2916",cfbd
5,source_team_id,59054,"282",cfbd
5,source_team_id,59115,"2296",cfbd
5,source_team_id,59079,"322",cfbd
5,source_team_id,59107,"2320",cfbd
5,source_team_id,59080,"2329",cfbd
5,source_team_id,59014,"2815",cfbd
5,source_team_id,59027,"311",cfbd
5,source_team_id,59089,"2368",cfbd
5,source_team_id,59105,"2377",cfbd
5,source_team_id,59095,"2382",cfbd
5,source_team_id,59070,"2385",cfbd
5,source_team_id,59039,"2771",cfbd
5,source_team_id,59121,"2400",cfbd
5,source_team_id,59035,"2405",cfbd
5,source_team_id,59009,"149",cfbd
5,source_team_id,59006,"147",cfbd
5,source_team_id,59081,"2413",cfbd
5,source_team_id,59051,"2415",cfbd
5,source_team_id,59056,"93",cfbd
5,source_team_id,59034,"160",cfbd
5,source_team_id,59071,"2441",cfbd
5,source_team_id,59103,"2447",cfbd
5,source_team_id,59050,"2450",cfbd
5,source_team_id,59128,"2453",cfbd
5,source_team_id,59032,"2448",cfbd
5,source_team_id,59049,"2428",cfbd
5,source_team_id,59057,"155",cfbd
5,source_team_id,59058,"2449",cfbd
5,source_team_id,59011,"2464",cfbd
5,source_team_id,59012,"2458",cfbd
5,source_team_id,59059,"2460",cfbd
5,source_team_id,59106,"2466",cfbd
5,source_team_id,59047,"219",cfbd
5,source_team_id,59002,"2502",cfbd
5,source_team_id,59112,"2504",cfbd
5,source_team_id,59088,"2506",cfbd
5,source_team_id,59045,"163",cfbd
5,source_team_id,59030,"227",cfbd
5,source_team_id,59077,"257",cfbd
5,source_team_id,59064,"2523",cfbd
5,source_team_id,59003,"16",cfbd
5,source_team_id,59038,"2529",cfbd
5,source_team_id,59098,"2535",cfbd
5,source_team_id,59086,"301",cfbd
5,source_team_id,59104,"2545",cfbd
5,source_team_id,59052,"2569",cfbd
5,source_team_id,59060,"233",cfbd
5,source_team_id,59061,"2571",cfbd
5,source_team_id,59018,"2546",cfbd
5,source_team_id,59116,"2582",cfbd
5,source_team_id,59062,"79",cfbd
5,source_team_id,59126,"253",cfbd
5,source_team_id,59102,"2617",cfbd
5,source_team_id,59090,"56",cfbd
5,source_team_id,59072,"2598",cfbd
5,source_team_id,59069,"284",cfbd
5,source_team_id,59029,"2619",cfbd
5,source_team_id,59091,"2900",cfbd
5,source_team_id,59124,"2627",cfbd
5,source_team_id,59021,"2634",cfbd
5,source_team_id,59020,"2635",cfbd
5,source_team_id,59118,"2640",cfbd
5,source_team_id,59092,"2643",cfbd
5,source_team_id,59022,"119",cfbd
5,source_team_id,59026,"399",cfbd
5,source_team_id,59004,"302",cfbd
5,source_team_id,59131,"3101",cfbd
5,source_team_id,59017,"2630",cfbd
5,source_team_id,59083,"2674",cfbd
5,source_team_id,59024,"222",cfbd
5,source_team_id,59096,"2678",cfbd
5,source_team_id,59067,"2681",cfbd
5,source_team_id,59007,"2692",cfbd
5,source_team_id,59100,"2717",cfbd
5,source_team_id,59015,"2710",cfbd
5,source_team_id,59130,"2698",cfbd
5,source_team_id,59023,"2729",cfbd
5,source_team_id,59097,"2747",cfbd
5,source_team_id,59046,"43",cfbd
5,source_team_id,59063,"2754",cfbd
